1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
1001,2001,1
1002,2001,2
1003,2001,3
1004,2001,4
1005,2001,5
1006,2001,6
1007,2001,7
1008,2001,8
1009,2001,9
1010,2001,10
1011,2001,11
1012,2001,12
